               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.025118,            0.021073,           0.0016518,             0.91557,             0.82097,             0.87246,             0.56496,             0.03125,            0.035638,            0.001739,            0.006898,            0.006898,            0.006898
                  96,            0.025332,            0.021785,           0.0016881,             0.90869,             0.83947,             0.87574,             0.56773,            0.031102,            0.036468,           0.0017333,            0.006865,            0.006865,            0.006865
                  97,            0.025791,            0.021212,           0.0017228,             0.92085,             0.82863,             0.87648,             0.56486,            0.031687,            0.035837,           0.0017555,            0.006832,            0.006832,            0.006832
                  98,            0.025636,            0.022069,            0.001701,             0.92966,             0.83169,              0.8863,             0.57238,            0.031604,            0.035584,           0.0018145,            0.006799,            0.006799,            0.006799
                  99,            0.025372,            0.021753,           0.0016633,             0.90086,             0.84044,             0.88188,             0.56771,            0.031043,            0.035194,           0.0018074,            0.006766,            0.006766,            0.006766
                 100,            0.025048,            0.021106,           0.0015548,             0.92669,             0.83249,             0.88196,             0.57163,            0.030761,            0.035967,           0.0017125,            0.006733,            0.006733,            0.006733
                 101,            0.025865,            0.021269,           0.0017248,             0.91271,             0.82482,             0.87706,             0.57239,            0.030786,            0.035384,           0.0017571,              0.0067,              0.0067,              0.0067
                 102,            0.025596,            0.020892,             0.00162,             0.91074,             0.83177,             0.88011,              0.5684,            0.030985,            0.035178,           0.0017321,            0.006667,            0.006667,            0.006667
                 103,            0.025009,            0.021424,           0.0016957,             0.92545,             0.83075,             0.88132,             0.56767,            0.031036,            0.035601,           0.0016727,            0.006634,            0.006634,            0.006634
                 104,             0.02516,            0.021303,           0.0016775,             0.93173,             0.82666,             0.88608,             0.57029,            0.031017,            0.035804,           0.0016662,            0.006601,            0.006601,            0.006601
                 105,            0.024485,            0.021087,           0.0016939,             0.90063,             0.83659,             0.87859,             0.57684,            0.030474,            0.035441,           0.0016779,            0.006568,            0.006568,            0.006568
                 106,            0.024333,            0.020409,           0.0016333,             0.88412,              0.8445,             0.87299,             0.57154,            0.030634,            0.035315,           0.0017495,            0.006535,            0.006535,            0.006535
                 107,             0.02441,            0.021185,            0.001632,             0.93139,             0.82278,              0.8771,             0.56804,            0.031257,            0.035124,           0.0017806,            0.006502,            0.006502,            0.006502
                 108,            0.024923,            0.021533,           0.0016741,             0.90994,             0.84839,             0.88216,             0.57732,            0.030623,            0.035022,            0.001748,            0.006469,            0.006469,            0.006469
                 109,            0.025072,            0.021413,           0.0017184,             0.94715,             0.80409,             0.87091,             0.56983,            0.030984,            0.035368,           0.0016762,            0.006436,            0.006436,            0.006436
                 110,            0.024849,            0.021207,           0.0016909,             0.89879,             0.83252,             0.87846,             0.57288,            0.030916,             0.03486,           0.0017439,            0.006403,            0.006403,            0.006403
                 111,            0.024742,            0.020921,           0.0016514,             0.93046,             0.81798,             0.87514,             0.56894,            0.031285,            0.035568,           0.0016459,             0.00637,             0.00637,             0.00637
                 112,            0.025343,            0.021787,           0.0015631,              0.9287,             0.81512,               0.879,              0.5739,            0.031145,            0.036597,           0.0017738,            0.006337,            0.006337,            0.006337
                 113,            0.024977,            0.021724,            0.001755,             0.91864,             0.83789,             0.88472,             0.57651,            0.030993,            0.037185,           0.0016895,            0.006304,            0.006304,            0.006304
                 114,            0.025203,            0.020474,           0.0017373,              0.9042,             0.84033,             0.88347,             0.57461,            0.031218,            0.035824,           0.0016807,            0.006271,            0.006271,            0.006271
                 115,            0.023955,            0.020038,           0.0016075,             0.93326,             0.80796,             0.87788,             0.57598,             0.03106,            0.035762,           0.0016886,            0.006238,            0.006238,            0.006238
                 116,             0.02457,            0.020426,           0.0017249,             0.91079,             0.83443,             0.87918,             0.57453,            0.030307,            0.035918,           0.0016874,            0.006205,            0.006205,            0.006205
                 117,            0.024312,            0.020452,           0.0015565,             0.90751,             0.84365,              0.8799,             0.57673,             0.03055,              0.0365,           0.0016484,            0.006172,            0.006172,            0.006172
                 118,             0.02391,            0.020116,           0.0015919,             0.91661,             0.82985,             0.87792,             0.57463,            0.030711,            0.036505,            0.001673,            0.006139,            0.006139,            0.006139
                 119,            0.024028,            0.020584,           0.0016912,             0.91168,             0.81397,             0.87187,             0.57299,            0.030595,            0.035826,           0.0017075,            0.006106,            0.006106,            0.006106
                 120,            0.024166,            0.020191,           0.0016078,             0.92721,             0.81671,             0.87917,             0.57365,            0.030578,            0.036693,           0.0016859,            0.006073,            0.006073,            0.006073
                 121,            0.023618,            0.020438,           0.0015143,             0.93114,             0.82006,             0.88067,              0.5735,            0.031032,            0.036064,           0.0016827,             0.00604,             0.00604,             0.00604
                 122,            0.024295,            0.020405,           0.0015432,             0.91112,             0.83472,             0.87194,             0.57354,             0.03076,            0.035485,           0.0017077,            0.006007,            0.006007,            0.006007
